Metabolites,MetaboliteNames,Cancer_Normal_Malignant,Cancer_Tumor_Malignant,Fibroblast_Normal_FGFR2+,Fibroblast_Tumor_FGFR2+,Fibroblast_Normal_ICAM1+,Fibroblast_Tumor_ICAM1+,Fibroblast_Normal_FAP+,Fibroblast_Tumor_FAP+,Fibroblast_Normal_ICAM1-,Fibroblast_Tumor_ICAM1-,Fibroblast_Normal_MFAP5+,Fibroblast_Tumor_MFAP5+,Fibroblast_Normal_CD73+,Fibroblast_Tumor_CD73+,Fibroblast_Normal_DES+,Fibroblast_Tumor_DES+,Macrophage_Normal_THBS1+,Macrophage_Tumor_THBS1+,Macrophage_Normal_VCAN+,Macrophage_Tumor_VCAN+,Macrophage_Normal_MARCO+,Macrophage_Tumor_MARCO+
MAM02871n,"SAH",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02871r,"SAH",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02872c,"SAICAR",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02873c,"salsoline",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02874c,"salsoline-1-carboxylate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02875c,"salsolinol",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02876c,"salsolinol-1-carboxylate",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02877c,"SAM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02877m,"SAM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02877n,"SAM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02877r,"SAM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02878m,"S-aminomethyldihydrolipoamide",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02880c,"sarcosine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02880m,"sarcosine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02880x,"sarcosine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02880e,"sarcosine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02881c,"se-adenosyl-L-selenohomocysteine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02881n,"se-adenosyl-L-selenohomocysteine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02882c,"se-adenosylselenomethionine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02882n,"se-adenosylselenomethionine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02883c,"sedoheptulose-1,7-bisphosphate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02884c,"sedoheptulose-7-phosphate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02885c,"selenate",0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02885e,"selenate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02886c,"selenide",0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02887c,"selenite",0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02888c,"selenocystathionine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02889c,"selenocysteine",0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02890c,"selenohomocysteine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02891c,"selenomethionine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02892c,"selenomethionine-se-oxide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02893c,"selenomethionyl-tRNA(met)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02894c,"selenophosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02895c,"se-methyl-L-selenocysteine",0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02896c,"serine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02896l,"serine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02896m,"serine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02896x,"serine",1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0
MAM02896e,"serine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02897c,"serotonin",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02897e,"serotonin",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02898c,"S-farnesyl-protein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02899m,"S-glutaryldihydrolipoamide",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02900c,"S-glutathionyl-2-4-dinitrobenzene",1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0
MAM02900e,"S-glutathionyl-2-4-dinitrobenzene",1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0
MAM02901c,"S-glutathionyl-ethacrynic acid",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0
MAM02901e,"S-glutathionyl-ethacrynic acid",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0
MAM02902c,"sialyl(1,3)-sialyl(2,6)-galactosylgloboside",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02902g,"sialyl(1,3)-sialyl(2,6)-galactosylgloboside",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02902e,"sialyl(1,3)-sialyl(2,6)-galactosylgloboside",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02903c,"sialyl(2,3)-sialyl(2,6)-galactosylgloboside",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02903g,"sialyl(2,3)-sialyl(2,6)-galactosylgloboside",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02903e,"sialyl(2,3)-sialyl(2,6)-galactosylgloboside",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02904c,"sialyl-3-paragloboside",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
MAM02904g,"sialyl-3-paragloboside",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
MAM02905g,"sialyl-galactosylgloboside",0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0
MAM02906g,"sialyl-T antigen",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1
MAM02907c,"sialyl-Tn antigen",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02907g,"sialyl-Tn antigen",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02907e,"sialyl-Tn antigen",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02908c,"SM pool",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02908g,"SM pool",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02908l,"SM pool",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02908r,"SM pool",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02909e,"SMCFA-blood-pool",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02910c,"S-methyl-5-thio-D-ribulose-1-phosphate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02911c,"sn-glycero-3-phospho-1-inositol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM02912c,"sn-glycerol-3-PC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02913c,"sn-glycerol-3-PE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02914c,"sn-glycerol-3-phosphate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02914m,"sn-glycerol-3-phosphate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM02914x,"sn-glycerol-3-phosphate",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
MAM02915c,"somatostatin fragment 3-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
