Genes,GeneShortNames,UsedReactions,Cancer_Normal_Malignant,Cancer_Tumor_Malignant,Fibroblast_Normal_FGFR2+,Fibroblast_Tumor_FGFR2+,Fibroblast_Normal_ICAM1+,Fibroblast_Tumor_ICAM1+,Fibroblast_Normal_FAP+,Fibroblast_Tumor_FAP+,Fibroblast_Normal_ICAM1-,Fibroblast_Tumor_ICAM1-,Fibroblast_Normal_MFAP5+,Fibroblast_Tumor_MFAP5+,Fibroblast_Normal_CD73+,Fibroblast_Tumor_CD73+,Fibroblast_Normal_DES+,Fibroblast_Tumor_DES+,Macrophage_Normal_THBS1+,Macrophage_Tumor_THBS1+,Macrophage_Normal_VCAN+,Macrophage_Tumor_VCAN+,Macrophage_Normal_MARCO+,Macrophage_Tumor_MARCO+
ENSG00000196616,ADH1B,"MAR03905, MAR08502, MAR08507, MAR08508, MAR08530, MAR06756, MAR01129, MAR01130, MAR01131, MAR01288, MAR00453, MAR00458, MAR01684, MAR06631, MAR06633, MAR04561, MAR07038, MAR04202, MAR20067, MAR20068",71.2410360926263,0,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,106.930560759148,0,0,0,0,0,0,0
ENSG00000196620,UGT2B15,"MAR06798, MAR06799, MAR06800, MAR06801, MAR06828, MAR06830, MAR06836, MAR06837, MAR06842, MAR06843, MAR02461, MAR02462, MAR02463, MAR02464, MAR02467, MAR02468, MAR02469, MAR02470, MAR04766, MAR07648, MAR06666, MAR06667, MAR06668, MAR06669, MAR06679, MAR06680, MAR06685, MAR06686, MAR06704, MAR06705, MAR06490, MAR06495, MAR07039, MAR07065, MAR07066, MAR09573, MAR09574, MAR02617, MAR02627, MAR02631, MAR02637, MAR03051, MAR03052, MAR03207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196743,GM2A,"MAR00835, MAR12036, MAR12037, MAR12061, MAR12063, MAR12064",71.2410360926263,89.1088006326229,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.022118774627,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000196839,ADA,"MAR04481, MAR04482, MAR04694, MAR04633, MAR08473",0,0,0,0,0,0,-0,0,0,0,0,0,0,71.2921385935629,0,0,-0,0,-0,-0,142.574081012197,-0
ENSG00000196876,SCN8A,"MAR01527",71.2410360926263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196950,SLC39A10,"MAR05989",0,89.1088006326229,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000196968,FUT11,"MAR00765, MAR00924, MAR00925, MAR00926",0,0,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,0,89.0008927885529,71.2921385935629,0,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000197093,GAL3ST4,"MAR06829, MAR04549",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.574081012197,142.574081012198,0,0,0,142.574081012197
ENSG00000197119,SLC25A29,"MAR02592, MAR02596, MAR02600, MAR02603, MAR02606, MAR02609, MAR02612, MAR02616, MAR02621, MAR02624, MAR02629, MAR02634, MAR02638, MAR02644, MAR02649, MAR02652, MAR02655, MAR02658, MAR02661, MAR02664, MAR02667, MAR02670, MAR02673, MAR02676, MAR02679, MAR02682, MAR02685, MAR02688, MAR02691, MAR02695, MAR02700, MAR02703, MAR02706, MAR02709, MAR02712, MAR02715, MAR02718, MAR02722, MAR02727, MAR02731, MAR02734, MAR02737, MAR02740, MAR02744, MAR02748, MAR02753, MAR02757, MAR02760, MAR02764, MAR02769, MAR02772, MAR02775, MAR03033, MAR03035, MAR02783",71.2410360926263,89.1088006326234,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759566,106.828089246174,89.0234077051452,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935628,106.930560759148,124.752320885673,142.574081012197,142.574081012197,142.574081012197,142.373378988295,142.574081012197,142.574081012197
ENSG00000197121,PGAP1,"MAR08403, MAR08405",71.2410360926263,89.1088006326229,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,0,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,0,0,142.574081012197,0,142.574081012198,0,142.574081012197,0
